latitude;longitude;date;confidence;Fecha_inicio;Fecha_fin
8,15615;-76,40945;2024-09-23;nominal;2024-09-19;2024-10-03
8,15615;-76,40935;2024-09-23;nominal;2024-09-19;2024-10-03
8,15605;-76,40945;2024-09-23;nominal;2024-09-19;2024-10-03
8,15605;-76,40935;2024-09-23;nominal;2024-09-19;2024-10-03
8,15525;-76,46925;2024-09-23;nominal;2024-09-19;2024-10-03
8,15525;-76,46915;2024-09-23;nominal;2024-09-19;2024-10-03
8,15525;-76,46905;2024-09-23;nominal;2024-09-19;2024-10-03
8,15525;-76,46895;2024-09-23;nominal;2024-09-19;2024-10-03
8,15525;-76,46885;2024-09-23;nominal;2024-09-19;2024-10-03
8,15525;-76,46875;2024-09-23;nominal;2024-09-19;2024-10-03
8,15525;-76,46865;2024-09-23;nominal;2024-09-19;2024-10-03
8,15525;-76,46855;2024-09-23;nominal;2024-09-19;2024-10-03
8,15515;-76,46925;2024-09-23;nominal;2024-09-19;2024-10-03
8,15515;-76,46915;2024-09-23;nominal;2024-09-19;2024-10-03
8,15515;-76,46905;2024-09-23;nominal;2024-09-19;2024-10-03
8,15515;-76,46895;2024-09-23;nominal;2024-09-19;2024-10-03
8,15515;-76,46885;2024-09-23;nominal;2024-09-19;2024-10-03
8,15515;-76,46875;2024-09-23;nominal;2024-09-19;2024-10-03
8,15515;-76,46865;2024-09-23;nominal;2024-09-19;2024-10-03
8,15515;-76,46855;2024-09-23;nominal;2024-09-19;2024-10-03
8,15505;-76,46925;2024-09-23;nominal;2024-09-19;2024-10-03
8,15505;-76,46915;2024-09-23;nominal;2024-09-19;2024-10-03
8,15505;-76,46905;2024-09-23;nominal;2024-09-19;2024-10-03
8,15505;-76,46895;2024-09-23;nominal;2024-09-19;2024-10-03
8,15505;-76,46885;2024-09-23;nominal;2024-09-19;2024-10-03
8,15505;-76,46875;2024-09-23;nominal;2024-09-19;2024-10-03
8,15505;-76,46865;2024-09-23;nominal;2024-09-19;2024-10-03
8,15505;-76,46855;2024-09-23;nominal;2024-09-19;2024-10-03
8,15495;-76,46895;2024-09-23;nominal;2024-09-19;2024-10-03
8,15495;-76,46885;2024-09-23;nominal;2024-09-19;2024-10-03
8,15495;-76,46875;2024-09-23;nominal;2024-09-19;2024-10-03
8,15495;-76,46865;2024-09-23;nominal;2024-09-19;2024-10-03
8,15495;-76,46855;2024-09-23;nominal;2024-09-19;2024-10-03
8,15485;-76,46895;2024-09-23;nominal;2024-09-19;2024-10-03
8,15485;-76,46885;2024-09-23;nominal;2024-09-19;2024-10-03
8,15485;-76,46875;2024-09-23;nominal;2024-09-19;2024-10-03
8,15485;-76,46865;2024-09-23;nominal;2024-09-19;2024-10-03
8,15485;-76,46855;2024-09-23;nominal;2024-09-19;2024-10-03
8,15475;-76,46895;2024-09-23;nominal;2024-09-19;2024-10-03
8,15475;-76,46885;2024-09-23;nominal;2024-09-19;2024-10-03
8,15475;-76,46875;2024-09-23;nominal;2024-09-19;2024-10-03
8,15475;-76,46865;2024-09-23;nominal;2024-09-19;2024-10-03
8,15475;-76,46855;2024-09-23;nominal;2024-09-19;2024-10-03
8,15465;-76,46895;2024-09-23;nominal;2024-09-19;2024-10-03
8,15465;-76,46885;2024-09-23;nominal;2024-09-19;2024-10-03
8,15465;-76,46875;2024-09-23;nominal;2024-09-19;2024-10-03
8,15465;-76,46865;2024-09-23;nominal;2024-09-19;2024-10-03
